operation,bucket_name,requester,remoteip,requestdatetime,key,request_uri,errorcode,c
REST.GET.BUCKET,americanexpressproduction,-,73.227.26.114,08/Nov/2022:23:57:49 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.BUCKET,americanexpressdownload,-,73.227.26.114,08/Nov/2022:23:57:37 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.BUCKET,americanexpressproduction,-,69.146.98.242,10/Nov/2022:18:29:05 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.BUCKET,americanexpressdownload,-,5.25.132.33,10/Nov/2022:11:43:01 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.OBJECT,americanexpressdownload,-,195.74.76.194,10/Nov/2022:22:00:00 +0000,americanexpressdownload,"""GET /americanexpressdownload HTTP/1.1""",NoSuchKey,2
REST.GET.BUCKET,americanexpressdownload,-,69.146.98.242,10/Nov/2022:22:00:35 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.BUCKET,americanexpressproduction,-,69.146.98.242,10/Nov/2022:18:39:43 +0000,-,"""GET / HTTP/1.1""",-,2
REST.GET.BUCKET,americanexpressdownload,-,69.146.98.242,10/Nov/2022:18:28:48 +0000,-,"""GET / HTTP/1.1""",-,2
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,03/Oct/2022:03:38:52 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,2
REST.GET.BUCKET,americanexpressdownload,-,69.146.98.242,10/Nov/2022:18:39:29 +0000,-,"""GET / HTTP/1.1""",-,2
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,27/Oct/2022:14:07:46 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,goldmansachsgroupproduction,-,54.85.129.133,03/Oct/2022:13:37:42 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,americanexpressproduction,-,34.147.45.227,21/Oct/2022:21:55:26 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,americanexpressproduction,-,18.159.133.150,01/Nov/2022:10:18:44 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.BUCKET,americanexpressproduction,-,54.85.129.133,31/Oct/2022:19:13:28 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,americanexpressdownload,-,54.85.129.133,17/Oct/2022:19:46:39 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,usaaproduction,-,54.85.129.133,23/Oct/2022:13:50:18 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.BUCKET,usaadownload,-,54.85.129.133,01/Nov/2022:14:35:25 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,02/Nov/2022:16:32:56 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
REST.HEAD.BUCKET,goldmansachsgroupdownload,-,54.85.129.133,19/Oct/2022:14:30:43 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,americanexpressdownload,-,13.38.36.12,29/Oct/2022:21:52:42 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,01/Nov/2022:20:14:44 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-21/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-21/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,americanexpressdownload,-,54.85.129.133,27/Oct/2022:14:07:43 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,02/Nov/2022:16:33:24 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-13/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-13/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,usaaproduction,-,135.181.38.135,04/Nov/2022:07:13:29 +0000,update_2022_chargeback_1667303101/2022-10/2022-10-12/transactions.zip,"""HEAD /update_2022_chargeback_1667303101/2022-10/2022-10-12/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,usaaproduction,-,47.197.45.70,01/Nov/2022:20:35:20 +0000,-,"""GET / HTTP/1.1""",-,1
REST.HEAD.OBJECT,americanexpressdownload,-,135.181.154.239,04/Nov/2022:02:36:47 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-07/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-07/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,secure-encryption-ssh-quickstart-1667298602.txt,"""HEAD /secure-encryption-ssh-quickstart-1667298602.txt HTTP/1.1""",NoSuchKey,1
REST.GET.BUCKET,americanexpressproduction,-,18.191.196.112,13/Nov/2022:10:17:22 +0000,-,"""GET / HTTP/1.1""",-,1
REST.GET.BUCKET,usaaproduction,-,20.81.46.95,01/Nov/2022:20:17:19 +0000,-,"""GET / HTTP/1.1""",PermanentRedirect,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-09/2022-09-01/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-09/2022-09-01/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.OBJECT,americanexpressproduction,-,135.181.145.25,04/Nov/2022:02:08:55 +0000,update_2022_chargeback_1667299501/2022-10/2022-10-11/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-10/2022-10-11/transactions.zip HTTP/1.1""",NoSuchKey,1
REST.HEAD.BUCKET,goldmansachsgroupproduction,-,54.85.129.133,07/Oct/2022:15:54:20 +0000,-,"""HEAD / HTTP/1.1""",AuthorizationHeaderMalformed,1
REST.HEAD.OBJECT,usaadownload,-,65.108.156.240,04/Nov/2022:02:34:48 +0000,update_2022_chargeback_1667299501/2022-08/2022-08-04/transactions.zip,"""HEAD /update_2022_chargeback_1667299501/2022-08/2022-08-04/transactions.zip HTTP/1.1""",NoSuchKey,1
